region,,,,,,,,,
#,,,,,,,,,
1,M1a,20,27,21,28,8,,2642.94,2635.35
2,M1a,34,46,35,47,13,,2627.81,2614.97
3,M1b,48,56,49,57,9,,2612.89,2604.37
4,M1b,95,108,96,109,14,,2563.85,2550.63
5,M1b,187,200,70,83,14,,2355.09,2342.81
6,M2a,256,264,9,17,9,,2560.46,2551.53
7,M2b,340,356,93,109,17,,2469.66,2453.08
8,M2b,461,473,98,110,13,,2229.30,2218.02
9,M3,593,617,80,104,25,,1397.51,1384.30
10,M4a,709,721,4,16,13,,1611.43,1602.64
11,M4a,765,781,60,76,17,,1571.19,1560.73
12,M4b,820,833,11,24,14,,1520.19,1511.67
13,M4b,868,893,59,84,26,,1489.22,1473.58
14,M4c,944,956,29,41,13,,1321.81,1314.70
15,M4d,976,984,61,69,9,,1303.02,1298.41
16,M4d,1035,1044,26,35,10,,1258.74,1253.88
17,M5,1142,1150,27,35,9,,1122.45,1118.19
18,M6,1159,1174,44,59,16,,1113.44,1105.61
19,M6,1178,1189,63,74,12,,1103.53,1097.88
20,M6,1277,1290,3,16,14,,1045.11,1039.07
21,M6,1299,1311,25,37,13,,1034.94,1029.47
22,M7,1497,1524,56,83,28,,952.30,941.94
23,M7,1566,1580,125,139,15,,926.26,921.15
24,M8,1648,1661,40,53,14,,890.29,885.92
25,M8,1701,1710,93,102,10,,872.77,869.87
26,M9,1797,1805,28,36,9,,841.40,838.21
27,M9,1828,1840,59,71,13,,829.18,824.16
28,M9,1914,1932,145,163,19,,797.01,790.58
29,M10,2029,2047,93,111,19,,751.02,745.88
30,M10,2066,2090,130,154,25,,739.32,731.91
31,M11,2108,2125,5,22,18,,727.13,722.04
32,M11,2141,2159,38,56,19,,717.31,712.06
33,M12,2258,2278,11,31,21,,679.27,674.07
34,M12,2346,2366,99,119,21,,657.01,652.16
